"ADM2_EN","Lat","Lon","iso"
"Aniocha North",6.36298578669001,6.48058572384453,"NGA"
"Aniocha South",6.13438265790178,6.48419672688858,"NGA"
"Anka",11.9405018570248,5.98703442393931,"NGA"
"Ankpa",7.46349153359407,7.63709068682236,"NGA"
"Apa",7.65012740384875,7.88612390846427,"NGA"
"Apapa",6.44696865989121,3.36576409812834,"NGA"
"Ardo-Kola",8.81110304228569,11.1721049573341,"NGA"
"Arewa-Dandi",12.7574146266055,4.06198967179243,"NGA"
"Argungu",12.6925476950638,4.43211180368091,"NGA"
"Arochukwu",5.51528748249199,7.80768545272712,"NGA"
"Asa",8.44858244053399,4.42242653874306,"NGA"
"Asari-Toru",4.75234498763807,6.85138932213029,"NGA"
"Askira/Uba",10.6477213415162,12.9432182351012,"NGA"
"Atakumosa East",7.43572891966372,4.75510518195635,"NGA"
"Atakumosa West",7.59675209113276,4.63439802418917,"NGA"
"Atiba",8.2389850486737,3.90192895506719,"NGA"
"Atigbo",8.40587730282205,3.23711391497151,"NGA"
"Augie",12.9123497157289,4.6028137289034,"NGA"
"Auyo",12.3504531293135,9.99256911893456,"NGA"
"Awe",8.24489857566112,9.23376720851688,"NGA"
"Awgu",6.14950460753807,7.4530742254171,"NGA"
"Awka North",6.34262476404545,7.05872607360951,"NGA"
"Awka South",6.19742153685765,7.08761930815981,"NGA"
"Ayamelum",6.55971612394394,6.98880545778135,"NGA"
"Babura",12.608323585278,8.8612208392641,"NGA"
"Badagry",6.4410673607806,2.92081855117664,"NGA"
"Bade",12.7301582094207,10.8863329553545,"NGA"
"Bagudo",11.3384138730471,3.93743933831416,"NGA"
"Bagwai",12.1024373038107,8.13455324464228,"NGA"
"Bakassi",4.80804198571788,8.56892014246358,"NGA"
"Bakori",11.6398835953851,7.43455768800422,"NGA"
"Bakura",12.6044925388181,5.85815711883849,"NGA"
"Balanga",9.83659300932737,11.6602218658129,"NGA"
"Bali",8.13341672844876,10.9975565257233,"NGA"
"Bama",11.5445025301978,14.1023099053362,"NGA"
"Barikin Ladi",9.54968408055706,8.92670732875,"NGA"
"Baruten",9.2915573668065,3.38288092264491,"NGA"
"Bassa",7.79197088665206,7.03182682157928,"NGA"
"Bassa",10.0801469368392,8.78294622755239,"NGA"
"Batagarawa",12.8818854691412,7.5764900629931,"NGA"
"Batsari",12.8151896409134,7.2399457616936,"NGA"
"Bauchi",10.2429983038305,9.93005534597766,"NGA"
"Baure",12.7905199488377,8.77709762515357,"NGA"
"Bayo",10.4050313756061,11.7019723497297,"NGA"
"Bebeji",11.5096061078939,8.31110788709317,"NGA"
"Bekwara",6.69811656307288,8.91036230824232,"NGA"
"Bende",5.66449270073538,7.60801477497161,"NGA"
"Biase",5.54378337771655,8.07004860887329,"NGA"
"Bichi",12.2765660551937,8.26720233435287,"NGA"
"Bida",9.0949633091276,6.01389628323813,"NGA"
"Billiri",9.83323762643608,11.1173582853606,"NGA"
"Bindawa",12.7190640997918,7.89466764675433,"NGA"
