"ADM2_EN","Lat","Lon","country"
"Isingiro",-0.853240651828664,30.8776533732874,"UGA"
"Jinja",0.565489868655902,33.2127168367097,"UGA"
"Kaabong",3.54328322074246,34.155670456669,"UGA"
"Kabale",-1.33088008247273,30.0176806433364,"UGA"
"Kabarole",0.635938482042112,30.3345763561982,"UGA"
"Kaberamaido",1.69438290302018,33.1285078042223,"UGA"
"Kagadi",1.01470515352543,30.8105494827508,"UGA"
"Kakumiro",0.984637493766369,31.2984438454411,"UGA"
"Kalaki",1.83499420088889,33.3362776032968,"UGA"
"Kalangala",-0.578501938422876,32.4417817317532,"UGA"
"Kaliro",1.06758904023968,33.4833479356996,"UGA"
"Kalungu",-0.102090886985661,31.8026632487893,"UGA"
"Kampala",0.315722349696044,32.596960460377,"UGA"
"Kamuli",0.937088303954334,33.1074936105215,"UGA"
"Kamwenge",0.315742045436762,30.5584151458818,"UGA"
"Kanungu",-0.810175446629108,29.7258469383999,"UGA"
"Kapchorwa",1.34453237761926,34.4300362371466,"UGA"
"Kapelebyong",2.21338708650284,33.7438834439985,"UGA"
"Karenga",3.72803680749812,33.7881922457658,"UGA"
"Kasese",0.117654771637153,30.0018750563071,"UGA"
"Kassanda",0.538221612506688,31.7548034402898,"UGA"
"Katakwi",1.92222269912019,34.0381329458185,"UGA"
"Kayunga",0.981893643288335,32.8925534425164,"UGA"
"Kazo",0.0415187287263138,30.7923831897607,"UGA"
"Kibaale",0.802204754661336,31.0673523815565,"UGA"
"Kiboga",0.840236670819514,31.9566499075071,"UGA"
"Kibuku",1.05344264875839,33.8011216310728,"UGA"
"Kikuube",1.30802260663596,30.950210347786,"UGA"
"Kiruhura",-0.349676621717855,30.9148834746433,"UGA"
"Kiryandongo",2.02291677201874,32.0408528666398,"UGA"
"Kisoro",-1.21724338665352,29.6801840458192,"UGA"
"Kitagwenda",0.0122231901498725,30.3411103798725,"UGA"
"Kitgum",3.39802260825562,33.258048876452,"UGA"
"Koboko",3.52557480756652,31.0079741008374,"UGA"
"Kole",2.29152311745593,32.7662657421029,"UGA"
"Kotido",3.02408551374868,33.9881267403178,"UGA"
"Kumi",1.47356100160131,33.9614350217952,"UGA"
"Kwania",1.91677113017111,32.7341448557395,"UGA"
"Kween",1.43663647885681,34.5695249517318,"UGA"
"Kyankwanzi",1.12140149119856,31.6415747872957,"UGA"
"Kyegegwa",0.450669830545866,31.0020844545687,"UGA"
"Kyenjojo",0.656267763746172,30.6623682231385,"UGA"
"Kyotera",-0.805726749476719,31.660359857394,"UGA"
"Lamwo",3.55062400823639,32.7238128689167,"UGA"
"Lira",2.30353027027528,32.9634597605623,"UGA"
"Luuka",0.803925697835342,33.3384918276475,"UGA"
"Luwero",0.828939964396549,32.5832534553823,"UGA"
"Lwengo",-0.413365259165642,31.4258627951362,"UGA"
"Lyantonde",-0.223133795803925,31.1880741141116,"UGA"
"Madi Okollo",2.85309834512254,31.2311516844597,"UGA"
"Manafwa",0.875101421078061,34.2709268835433,"UGA"
"Maracha",3.23693747076427,30.9269153224056,"UGA"
"Masaka",-0.491254774992301,31.8555834454913,"UGA"
"Masindi",1.74381968724169,31.7122977954665,"UGA"
"Mayuge",-0.0884837301500205,33.5517825238851,"UGA"
"Mbale",1.01923800854601,34.1984172165254,"UGA"
"Mbarara",-0.49329335220382,30.606332992884,"UGA"
"Mitooma",-0.624297426418616,30.0225427259487,"UGA"
"Mityana",0.443250358240915,32.0596446207879,"UGA"
"Moroto",2.64865464139199,34.6316902385041,"UGA"
"Moyo",3.64280921888219,31.7658532944449,"UGA"
"Mpigi",0.0670445534573124,32.1589699669341,"UGA"
