"ADM2_EN","Lat","Lon","iso"
"Kumasi Metropolitan",6.68824172095829,-1.62121416455619,"GHA"
"Kumbungu",9.78990289049266,-1.0583558176125,"GHA"
"Kwabre East",6.79070647792144,-1.5278755872312,"GHA"
"Kwadaso Municipal",6.66834704370515,-1.65464045488739,"GHA"
"Kwaebibirem",6.21091795492291,-0.852174207027643,"GHA"
"Kwahu Afram Plains North",6.90097879232155,0.0269328369077853,"GHA"
"Kwahu Afram Plains South",6.89560275732905,-0.36525559312373,"GHA"
"Kwahu East",6.71064139017632,-0.813548243977903,"GHA"
"Kwahu South",6.63233031060683,-0.571220057917583,"GHA"
"Kwahu West",6.52015795931317,-0.777386812623773,"GHA"
"La-Nkwantanang-Madina",5.74499906444801,-0.166232863242185,"GHA"
"La Dade-Kotopon",5.58662684521812,-0.159195727995162,"GHA"
"Lambussie-Karni",10.8460987217284,-2.61006446094918,"GHA"
"Lawra",10.650068197414,-2.82407125296091,"GHA"
"Ledzokuku Municipal",5.60228731334403,-0.117452190002491,"GHA"
"Lower Manya",6.19091767002536,0.00766251608650415,"GHA"
"Mampong Municipal",7.15941690786494,-1.42299901621102,"GHA"
"Mamprugu Moagduri",10.2479746502723,-1.33547398869498,"GHA"
"Mfantseman Municipal",5.25296313659985,-1.11078283064014,"GHA"
"Mion",9.39253548383751,-0.249626359618081,"GHA"
"Mpohor",5.06144465260833,-1.85387225962732,"GHA"
"Nabdam",10.8361074337657,-0.652054878750907,"GHA"
"Nadowli-Kaleo",10.2888088995543,-2.63086625444566,"GHA"
"Nandom",10.8530257336937,-2.7920720020148,"GHA"
"Nanton",9.55636866019411,-0.695384214053907,"GHA"
"Nanumba North",8.9182578593141,-0.0954357904582918,"GHA"
"Nanumba South",8.73113522313057,0.0521659261651414,"GHA"
"New Juaben North Municipal",6.14080458548386,-0.309572863184849,"GHA"
"New Juaben South Municipal",6.07859492549148,-0.261119207310943,"GHA"
"Ningo/Prampram",5.81263537084592,0.171388579951955,"GHA"
"Nkoranza North",7.70080229878216,-1.59517089642727,"GHA"
"Nkoranza South",7.46512011085479,-1.66642630170538,"GHA"
"Nkwanta North",8.56955272810224,0.252103482641829,"GHA"
"Nkwanta South Municipal",8.26261392485414,0.4592958396227,"GHA"
"North Dayi",6.82792467482928,0.234133346937509,"GHA"
"North East Gonja",8.73503474532683,-0.515066103238208,"GHA"
"North Gonja",9.70550322101254,-1.53770585474307,"GHA"
"North Tongu",6.17017268768018,0.31130235187449,"GHA"
"Nsawam Adoagyiri",5.82739226203691,-0.346776869774402,"GHA"
"Nzema East",5.1063536585611,-2.21590061331477,"GHA"
"Obuasi East",6.18322376759449,-1.60643073961213,"GHA"
"Obuasi Municipal",6.19629975530621,-1.6860382774689,"GHA"
"Offinso Municipal",7.06821176010777,-1.727585951063,"GHA"
"Offinso North",7.30366870217504,-1.88985686746759,"GHA"
"Oforikrom Municipal",6.67567207281522,-1.5477090079029,"GHA"
"Okaikwei North Municipal",5.62293388011976,-0.221235314419658,"GHA"
"Okere",6.05260129086331,-0.124537730400053,"GHA"
"Old Tafo Municipal",6.73850952040952,-1.60814232070058,"GHA"
"Prestea/Huni Valley",5.45524000826477,-2.00035425626794,"GHA"
"Pru East",8.13639327989297,-0.826708017492145,"GHA"
"Pru West",8.00146944956642,-1.31360242286823,"GHA"
"Pusiga",11.069939343457,-0.107394724443275,"GHA"
"Saboba",9.74866278543193,0.186448775690678,"GHA"
"Sagnerigu",9.46885214815857,-0.865339570306988,"GHA"
"Savelugu",9.86278248705785,-0.832670497683338,"GHA"
"Sawla-Tuna-Kalba",9.51330112114432,-2.35785355309257,"GHA"
"Sefwi-Wiawso",6.30998876637663,-2.5306991677722,"GHA"
"Sefwi Akontombra",6.09086064308343,-2.69648589205014,"GHA"
"Sekondi Takoradi Metropolis",4.96334003209411,-1.73106729014149,"GHA"
"Sekyere Afram Plains North",7.21676684414395,-0.740857136287162,"GHA"
"Sekyere Central",7.21791665076029,-1.14671592900289,"GHA"
"Sekyere East",6.78648766545487,-1.32137758520302,"GHA"
"Sekyere Kumawu",6.90335431863599,-1.22187824728598,"GHA"
"Sekyere South",6.9866094844296,-1.5170241880691,"GHA"
"Sene East",7.58963908603743,-0.178415361902805,"GHA"
"Sene West",7.7399002300497,-0.582944826909271,"GHA"
"Shai Osudoku",5.96262470135904,0.128752143507991,"GHA"
"Shama",5.05920433760725,-1.64352321307568,"GHA"
"Sissala East",10.6573322722779,-1.79426249328082,"GHA"
"Sissala West",10.8354511383356,-2.27021082919016,"GHA"
"South Dayi",6.59747738842508,0.219724164755634,"GHA"
"South Tongu",5.97130417545737,0.656877793249577,"GHA"
"Suaman",6.1156950568851,-3.02481561227975,"GHA"
"Suame Municipal",6.73827600610211,-1.65936743547628,"GHA"
"Suhum Municipal",6.04428058750552,-0.400017064351607,"GHA"
"Sunyani Municipal",7.23478711793465,-2.36425041357385,"GHA"
"Sunyani West",7.43769703507371,-2.35089682336197,"GHA"
"Tain",7.79402429977504,-2.37661977032843,"GHA"
"Talensi",10.6643174569021,-0.724913415957969,"GHA"
"Tamale Metropolitan",9.37379282070111,-0.743045183856106,"GHA"
